video_id,comentarios,autores,respuestas,me_gusta,title,channel_name,channel_id,view_count,category
JdxHJkQjM50,0,0,0,0,🚡 ¿Cómo va avanzando #AeroMetroGT?,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,20901,News & Politics
Pg1qw0KJI4E,0,0,0,0,"Surgen detalles de la masacre en Boca del Monte: madre de un bombero e influencer, entre víctimas",PrensaLibreOficial,UCEepOY2svuxbsJ-zsAPT9Fg,20503,News & Politics
KIO6wIJXYY0,0,0,0,0,"Se tiene que cambiar el sistema electoral en Guatemala, asegura exfiscal",CNN en Español,UC_lEiu6917IJz03TnntWUaQ,16830,News & Politics
O6gI0ooBM3E,0,0,0,0,¿Cómo es el tráfico en Guatemala? 56 días perdidos cada año y una emergencia nacional,República TV,UC8mJT9xUcwgEM1vaMaruysw,16786,News & Politics
N1QkRu38BFE,0,0,0,0,¡YA CAYÓ ALITO MORENO! ALERTA LO DESTITUYEN DIPUTADOS VOTAN PARA SACARLO DEL SENADO! CLAUDIA INFORMA,Alexis Burelo,UC2EbdGoJZwR_WvkmB0i4rMg,15747,News & Politics
tg2QuZFdn4c,0,0,0,0,🔴 En Vivo |  Sesión Solemne de Consejo de Gobierno en Limón,Presidencia de la República,UCLXHie0velori7_dqu8w_bQ,15726,News & Politics
tmvTbeQNCTI,0,0,0,0,"Hoy SABRÁN Qué Grado ACADÉMICO Tenemos, Todos Son PROFESIONALES",Gente de Guate,UCTClcvXaWXGeZheUQFTQLRw,15482,Entertainment
0a4_g1R1-aA,0,0,0,0,Acciones relevantes en el #Resumen24Horas,PNCdeGuatemala,UCHsYnV67K3J0yJ4QeciVCww,15455,Science & Technology
Fb2Ccfq5S9w,0,0,0,0,Reo y su esposa fueron asesinados dentro del Preventivo de zona 18,TN23 Guatemala,UCt5Dw7ePnn0AqPqRF8Xpjkw,15431,News & Politics
KWCyMd4dxkY,0,0,0,0,Recorrido de los 21K BAM de la Municipalidad de Guatemala,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,13077,News & Politics
9h7d1iDFaqo,0,0,0,0,Vuelve el tráfico lento en la ciudad capital,PrensaLibreOficial,UCEepOY2svuxbsJ-zsAPT9Fg,11396,News & Politics
5Y7fntl6Rc8,0,0,0,0,Cómo llegar a TIKAL desde Ciudad de GUATEMALA en autobús o en Avión | transporte a PETÉN,De viaje con Migue,UCfMjuFkpFo_QAWtvQqR2EHQ,11061,Travel & Events
CDg6kLRfiqQ,0,0,0,0,Acciones relevantes en el #Resumen24Horas,PNCdeGuatemala,UCHsYnV67K3J0yJ4QeciVCww,11048,Science & Technology
rQEb4el3Lok,0,0,0,0,"Policía Nacional Civil en busca de mareros, imitadores y colaboradores de grupos delictivos",PNCdeGuatemala,UCHsYnV67K3J0yJ4QeciVCww,9637,News & Politics
gF42rhVhP8w,0,0,0,0,Tenemos un gran problema con la seguridad de las construcciones en Guatemala,TanGente Podcast,UCGSQ821fpPy-yXL9mUmKbBg,9033,Entertainment
sAPrXzrdstM,0,0,0,0,Funciones del Ministerio de Gobernación,Ministerio de Gobernación,UC8u2nvyHewt-mjdWSj0HJmQ,8970,News & Politics
