node_id,tipo,etiqueta,grado,grado_ponderado,canal,categoria,visualizaciones,handle
v:KIO6wIJXYY0,video,"Se tiene que cambiar el sistema electoral en Guatemala, asegura exfiscal",0,0,CNN en Español,News & Politics,16830,
v:KWCyMd4dxkY,video,Recorrido de los 21K BAM de la Municipalidad de Guatemala,0,0,Municipalidad de Guatemala,News & Politics,13077,
v:KkNQhX_kg8A,video,🇬🇹HISTORIA de GUATEMALA en 17 minutos🇬🇹 - El Mapa de Sebas,0,0,El Mapa de Sebas,Education,749356,
v:LRzZy8xBrjA,video,Conferencia de prensa ante el incremento de los combustibles.,0,0,Gobierno de la República de Guatemala,Entertainment,670,
v:LeN6wpNIB-4,video,GUATEMALA RECIBE 135 NICARAGUENESES LIBERADOS POR ORTEGA,0,0,IDocumenta,People & Blogs,28,
v:LqY_vAsa4PY,video,“Guatemala: Una historia escrita con corrupción”,0,0,PFNSE MEDIA,News & Politics,2291,
v:MMECHN8SFNw,video,"Noticiero en Directo 1 pm, 27 de Agosto de 2026",0,0,Noticiero Guatevisión 13 Hrs.,News & Politics,4838,
v:MRJ9mKnXR9M,video,Labor de la PMT es honesta aseguran vecinos,0,0,Municipalidad de Guatemala,People & Blogs,1075,
v:MdIa2Dtj77I,video,"Consejos para tu viaje a Guatemala: hospedaje, telefonía, transporte y más!   ✈️ 🇬🇹",0,0,Aventuras de una programadora,People & Blogs,134775,
v:Mh94uXZvCLo,video,DE LOS BOTS AL RECHAZO: CERIMEDO Y LA “GUERRILLA DE LAS REDES” | CAPÍTULO 3 DE 8,0,0,La  Coma,News & Politics,21,
v:Mme4XikKnlc,video,Municipalidad anuncia 111 nuevos autobuses y 17 rutas para mejorar el transporte en la capital,0,0,PrensaLibreOficial,News & Politics,3146,
v:N1QkRu38BFE,video,¡YA CAYÓ ALITO MORENO! ALERTA LO DESTITUYEN DIPUTADOS VOTAN PARA SACARLO DEL SENADO! CLAUDIA INFORMA,0,0,Alexis Burelo,News & Politics,15747,
v:NCvoO61aIfw,video,Ya casi! Así avanza el Aerómetro que cambiará el transporte en Guatemala,0,0,One Life,Entertainment,26744,
v:NcIcixCdQH4,video,PNC garantiza seguridad a turistas que visitan el colcán de Agua,0,0,PNCdeGuatemala,Science & Technology,7681,
v:Nc_Iy0MriYw,video,🛑🛑Actualización PROVIAL🛑🛑,0,0,PROVIAL-CIV,News & Politics,179,
v:NnKpTEfhWjI,video,✅ ASÍ es una EXHIBICION DE BUSES EN GUATEMALA,0,0,De todo Gt,Travel & Events,424874,
v:O6gI0ooBM3E,video,¿Cómo es el tráfico en Guatemala? 56 días perdidos cada año y una emergencia nacional,0,0,República TV,News & Politics,16786,
v:OXf_VvvyIDw,video,Municipalidad de Guatemala 31/08/2026,0,0,Concejales de Oposición - Muni Guate,People & Blogs,28,
v:OgOICSTSa7k,video,¡DÉJAME VIVIR! GUATEMALA INTENSIFICA LA LUCHA CONTRA LA CACERÍA ILEGAL DE FAUNA SILVESTRE,0,0,IDocumenta,News & Politics,6,
v:OkXlHx0hx-8,video,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,18,25,Noticias Telemundo,News & Politics,14200,
v:On7jqOm1bpg,video,🌟Seguimos avanzando🌱,0,0,CIV -Ministerio de Comunicaciones,News & Politics,10,
v:Oy6sKBhduu4,video,"Realizan Reunión Ordinaria de #CODEDE, 25 de febrero 2025.",0,0,Camarita Castro GT,People & Blogs,84,
