source,target,peso,author_channel_id,video_id,autor,video
a:UCXN2s7DwTJm33xO-pNkAdaA,v:06mFNPU0aB8,1,UCXN2s7DwTJm33xO-pNkAdaA,06mFNPU0aB8,@edithsan7688,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto
a:UCXO1BBohNWXkK9SBDAG2ySg,v:yLZS3JiEBg8,1,UCXO1BBohNWXkK9SBDAG2ySg,yLZS3JiEBg8,@JBFlute92,Arroz con pollo a la MONOPOLIO
a:UCXSkL3ejZ8qWYyF_M7s_QKA,v:n8iP75gIpmw,1,UCXSkL3ejZ8qWYyF_M7s_QKA,n8iP75gIpmw,@JacintaTzoy,Qué rico come tu diputado
a:UCXVLc8CmAO813ubM-fLvCDw,v:yLZS3JiEBg8,1,UCXVLc8CmAO813ubM-fLvCDw,yLZS3JiEBg8,@herminiasaquimux7565,Arroz con pollo a la MONOPOLIO
a:UCXXh7yg5KUFIWylTiKVEFKQ,v:n8iP75gIpmw,2,UCXXh7yg5KUFIWylTiKVEFKQ,n8iP75gIpmw,@MrDuenderojo,Qué rico come tu diputado
a:UCXgr7vXlRrsaskPdo097kGA,v:n8iP75gIpmw,1,UCXgr7vXlRrsaskPdo097kGA,n8iP75gIpmw,@Rogergh-nw4oj,Qué rico come tu diputado
a:UCXl30Y_upRqbti52fmjK4YA,v:yLZS3JiEBg8,1,UCXl30Y_upRqbti52fmjK4YA,yLZS3JiEBg8,@capitanfrans,Arroz con pollo a la MONOPOLIO
a:UCXmrpc6Li0spcKxtS0Q_ptg,v:lj983NWyAQY,1,UCXmrpc6Li0spcKxtS0Q_ptg,lj983NWyAQY,@melvinperez6710,Plan 2032 Ciudad de Guatemala
a:UCXr8_5WtGeipe4haOoQDgyQ,v:n8iP75gIpmw,1,UCXr8_5WtGeipe4haOoQDgyQ,n8iP75gIpmw,@amyherrera7352,Qué rico come tu diputado
a:UCY7Hq7F9Lnucf-Yr6JkHZNw,v:lj983NWyAQY,1,UCY7Hq7F9Lnucf-Yr6JkHZNw,lj983NWyAQY,@maynorcalel1442,Plan 2032 Ciudad de Guatemala
a:UCYN4wSQ1Sx4_LurxLlW7MPg,v:n8iP75gIpmw,1,UCYN4wSQ1Sx4_LurxLlW7MPg,n8iP75gIpmw,@belarminavillatoro6474,Qué rico come tu diputado
a:UCYwpX26TrCxq8TvbKGRYLXA,v:n8iP75gIpmw,1,UCYwpX26TrCxq8TvbKGRYLXA,n8iP75gIpmw,@beneficioelcaminovillacana8540,Qué rico come tu diputado
a:UCZ51R_9Q9C0c8I3pAWhtmjQ,v:n8iP75gIpmw,1,UCZ51R_9Q9C0c8I3pAWhtmjQ,n8iP75gIpmw,@belvettzapeta1251,Qué rico come tu diputado
